UUID,Major,Minor,RSSI,X,Y,Timestamp,SessId
b9407f30f5f8466eaff925556b57fe6d,1,9619,-57,13.370117153326904,1.6109355612343297,1494769516767,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-59,13.197755513281319,1.6106892681686682,1494769516978,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-57,13.032745791531516,1.6104534804944333,1494769517180,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-82,12.957592848952398,1.610346092048742,1494769517272,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-79,12.889791824669063,1.610249208994477,1494769517355,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-65,12.866102310160427,1.61021535828877,1494769517384,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-88,12.839145276409223,1.6101768385202069,1494769517417,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-74,12.794216886823879,1.6101126389059348,1494769517472,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-80,12.722331463487333,1.6100099195230997,1494769517560,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-68,12.697825069168054,1.6099749015516787,1494769517590,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-87,12.6929237903042,1.6099678979573946,1494769517596,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-79,12.669234275795564,1.6099340472516874,1494769517625,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-74,12.626756525642149,1.6098733494345576,1494769517677,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-81,12.553237342684316,1.6097682955202945,1494769517767,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-61,12.533632227228894,1.6097402811431576,1494769517791,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-85,12.52301278969054,1.6097251066888751,1494769517804,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-83,12.503407674235119,1.6096970923117384,1494769517828,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-73,12.460113044271061,1.6096352272288945,1494769517881,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-80,12.383326342070658,1.609525504251775,1494769517975,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-66,12.369439385289734,1.6095056607346365,1494769517992,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-83,12.359636827562023,1.6094916535460682,1494769518004,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-84,12.33349667362146,1.609454301043219,1494769518036,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-76,12.293469562899974,1.6093971050232312,1494769518085,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-84,12.210964702025072,1.6092792111861138,1494769518186,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-60,12.192176466380293,1.609252364074691,1494769518209,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-81,12.189725826948365,1.6092488622775487,1494769518212,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-79,12.167670072061014,1.60921734610327,1494769518239,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-71,12.124375442096957,1.609155481020426,1494769518292,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-74,12.045138100464627,1.6090422562461646,1494769518389,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-79,12.03043426387306,1.609021245463312,1494769518407,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-61,12.02389922538792,1.6090119073375997,1494769518415,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-81,12.002660350311212,1.6089815584290348,1494769518441,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-72,11.960182600157797,1.608920860611905,1494769518493,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-66,11.860523263259402,1.6087784541947927,1494769518615,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-77,11.835199989129482,1.6087422689576576,1494769518646,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-88,11.789454719733497,1.6086769020776714,1494769518702,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-73,11.707766738669237,1.608560175506268,1494769518802,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-77,11.687344743403173,1.6085309938634171,1494769518827,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-73,11.675908426054177,1.6085146521434206,1494769518841,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-80,11.662838349083895,1.608495975891996,1494769518857,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-67,11.623628118173052,1.6084399471377224,1494769518905,32
b9407f30f5f8466eaff925556b57fe6d,1,9616,-72,11.536221978434295,1.6083150497063206,1494769519012,32
b9407f30f5f8466eaff925556b57fe6d,1,9618,-79,11.510898704304374,1.6082788644691854,1494769519043,32
b9407f30f5f8466eaff925556b57fe6d,1,9619,-65,11.508448064872447,1.6082753626720434,1494769519046,32
b9407f30f5f8466eaff925556b57fe6d,1,9609,-71,11.496194867712807,1.608257853686333,1494769519061,32
b9407f30f5f8466eaff925556b57fe6d,1,9617,-74,11.455350877180678,1.6081994904006311,1494769519111,32
